2025-04-04 15:13:53,281 - debugger - DEBUG - Noise classified as: other | Gunshot:   3.74% | Other:  96.26%
2025-04-04 15:13:55,296 - debugger - DEBUG - Noise classified as: other | Gunshot:   2.57% | Other:  97.43%
2025-04-04 15:14:01,304 - debugger - DEBUG - Noise classified as: other | Gunshot:   3.10% | Other:  96.90%
2025-04-04 15:14:05,292 - debugger - DEBUG - Noise classified as: other | Gunshot:   2.77% | Other:  97.23%
2025-04-04 15:14:07,285 - debugger - DEBUG - Noise classified as: other | Gunshot:   3.40% | Other:  96.60%
2025-04-04 15:14:09,282 - debugger - DEBUG - Noise classified as: other | Gunshot:   3.71% | Other:  96.29%
2025-04-04 15:14:11,284 - debugger - DEBUG - Noise classified as: other | Gunshot:   3.98% | Other:  96.02%
2025-04-04 15:14:15,289 - debugger - DEBUG - Noise classified as: other | Gunshot:   3.55% | Other:  96.45%
2025-04-04 15:14:17,278 - debugger - DEBUG - Noise classified as: other | Gunshot:   3.78% | Other:  96.22%
2025-04-04 15:14:19,291 - debugger - DEBUG - Noise classified as: other | Gunshot:   3.63% | Other:  96.37%
2025-04-04 15:14:21,288 - debugger - DEBUG - Noise classified as: other | Gunshot:   2.21% | Other:  97.79%
2025-04-04 15:14:23,301 - debugger - DEBUG - Noise classified as: other | Gunshot:   3.68% | Other:  96.32%
2025-04-04 15:14:25,285 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.88% | Other:  99.12%
2025-04-04 15:14:27,285 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.18% | Other:  99.82%
2025-04-04 15:14:29,293 - debugger - DEBUG - Noise classified as: other | Gunshot:   3.04% | Other:  96.96%
2025-04-04 15:14:31,287 - debugger - DEBUG - Noise classified as: other | Gunshot:   8.52% | Other:  91.48%
2025-04-04 15:14:33,287 - debugger - DEBUG - Noise classified as: other | Gunshot:   3.85% | Other:  96.15%
2025-04-04 15:14:35,296 - debugger - DEBUG - Noise classified as: other | Gunshot:   3.74% | Other:  96.26%
2025-04-04 15:14:37,292 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.01% | Other:  99.99%
2025-04-04 15:14:39,289 - debugger - DEBUG - Noise classified as: other | Gunshot:   3.33% | Other:  96.67%
2025-04-04 15:14:41,290 - debugger - DEBUG - Noise classified as: other | Gunshot:   2.02% | Other:  97.98%
2025-04-04 15:14:43,308 - debugger - DEBUG - Noise classified as: other | Gunshot:   1.60% | Other:  98.40%
2025-04-04 15:14:45,293 - debugger - DEBUG - Noise classified as: other | Gunshot:   3.28% | Other:  96.72%
2025-04-04 15:14:47,289 - debugger - DEBUG - Noise classified as: other | Gunshot:   2.99% | Other:  97.01%
2025-04-04 15:14:49,323 - debugger - DEBUG - Noise classified as: other | Gunshot:   1.91% | Other:  98.09%
2025-04-04 15:14:51,308 - debugger - DEBUG - Noise classified as: other | Gunshot:   2.80% | Other:  97.20%
2025-04-04 15:14:53,306 - debugger - DEBUG - Noise classified as: other | Gunshot:   2.70% | Other:  97.30%
2025-04-04 15:14:55,283 - debugger - DEBUG - Noise classified as: other | Gunshot:   2.37% | Other:  97.63%
2025-04-04 15:14:57,292 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.13% | Other:  99.87%
2025-04-04 15:14:59,285 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.00% | Other: 100.00%
2025-04-04 15:15:01,282 - debugger - DEBUG - Noise classified as: other | Gunshot:   4.48% | Other:  95.52%
2025-04-04 15:15:03,287 - debugger - DEBUG - Noise classified as: other | Gunshot:   1.90% | Other:  98.10%
2025-04-04 15:15:05,287 - debugger - DEBUG - Noise classified as: other | Gunshot:   4.88% | Other:  95.12%
2025-04-04 15:15:07,292 - debugger - DEBUG - Noise classified as: other | Gunshot:   2.10% | Other:  97.90%
2025-04-04 15:15:09,282 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.02% | Other:  99.98%
2025-04-04 15:15:11,302 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.26% | Other:  99.74%
2025-04-04 15:15:13,286 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.12% | Other:  99.88%
2025-04-04 15:15:15,295 - debugger - DEBUG - Noise classified as: other | Gunshot:   2.46% | Other:  97.54%
2025-04-04 15:15:23,313 - debugger - DEBUG - Noise classified as: other | Gunshot:   4.51% | Other:  95.49%
2025-04-04 15:15:25,307 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.60% | Other:  99.40%
2025-04-04 15:15:27,301 - debugger - DEBUG - Noise classified as: other | Gunshot:   3.15% | Other:  96.85%
2025-04-04 15:15:29,299 - debugger - DEBUG - Noise classified as: other | Gunshot:   4.07% | Other:  95.93%
2025-04-04 15:15:31,301 - debugger - DEBUG - Noise classified as: other | Gunshot:   3.42% | Other:  96.58%
2025-04-04 15:15:33,289 - debugger - DEBUG - Noise classified as: other | Gunshot:   4.56% | Other:  95.44%
2025-04-04 15:15:35,292 - debugger - DEBUG - Noise classified as: other | Gunshot:   3.34% | Other:  96.66%
2025-04-04 15:15:37,280 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.22% | Other:  99.78%
2025-04-04 15:15:39,294 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.77% | Other:  99.23%
2025-04-04 15:15:41,295 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.38% | Other:  99.62%
2025-04-04 15:15:43,287 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.09% | Other:  99.91%
